Movie_Title,average_sentiment_score,Movie_Rank,num_reviews,sentiment_score_ratio,Movie_Review_Rating
Finding Nemo,0.8503498557068199,156,1119,0.8945487042001787,8.2
It&apos;s a Wonderful Life,0.8502432965959897,21,1343,0.8845867460908414,8.6
The Godfather Part II,0.8501944123943135,4,1437,0.8851774530271399,9.0
The Green Mile,0.8496840177507278,25,2218,0.8692515779981965,8.6
Lawrence of Arabia,0.8493246849993277,100,827,0.8694074969770254,8.3
Tengoku to jigoku,0.8490857386725207,80,190,0.9315789473684211,8.4
Some Like It Hot,0.8488776098626161,136,530,0.9132075471698113,8.2
The Sting,0.8488464386685073,117,406,0.9064039408866995,8.2
La vita è bella,0.8463250705859259,27,1561,0.8725176169122357,8.6
The Incredibles,0.8462580229958947,230,1091,0.9000916590284143,8.0
The Dark Knight,0.8459465886325328,3,9046,0.860048640282998,9.0
Indiana Jones and the Last Crusade,0.8457121362656995,116,759,0.8945981554677207,8.2
The Silence of the Lambs,0.8450774849687089,22,1815,0.8865013774104683,8.6
El secreto de sus ojos,0.8449650244635218,165,378,0.8756613756613757,8.2
Up,0.8426775609394372,106,1142,0.8765323992994746,8.3
Aliens,0.8425407831937822,70,1646,0.8821385176184691,8.4
Yôjinbô,0.8423059325273101,155,256,0.9140625,8.2
North by Northwest,0.8415371638851268,105,787,0.8881829733163914,8.3
L.A. Confidential,0.8412042037410303,124,904,0.8628318584070797,8.2
GoodFellas,0.8410483442471092,17,1772,0.8645598194130926,8.7
Amadeus,0.8407772981743374,73,789,0.8745247148288974,8.4
The Elephant Man,0.8406762863888307,160,575,0.9095652173913044,8.2
Star Wars,0.8406371400137469,29,2195,0.8669703872437358,8.6
Per qualche dollaro in più,0.8391965013496006,134,391,0.9104859335038363,8.2
Léon,0.8385336917534284,43,1524,0.8707349081364829,8.5
C&apos;era una volta il West,0.8380453645608862,52,908,0.8546255506607929,8.5
The Gold Rush,0.8373320690954181,201,268,0.9216417910447762,8.1
